,country,country_long,name,capacity_mw,latitude,longitude,primary_fuel,estimated_generation_gwh
777,BIH,Bosnia and Herzegovina,Capljina Pumped Storage Power Plant Bosnia and Herzegovina,420.0,43.0133,17.8041,Hydro,1130.2199047834958
795,BIH,Bosnia and Herzegovina,Visegrad Hydroelectric Power Plant Bosnia and Herzegovina,315.0,43.7603,19.2891,Hydro,847.6649285876217
778,BIH,Bosnia and Herzegovina,Dubrovnik Hydroelectric Power Plant Bosnia and Herzegovina,216.0,42.6037,18.2357,Hydro,581.2559510315123
790,BIH,Bosnia and Herzegovina,Salakovac Hydroelectric Power Plant Bosnia and Herzegovina,210.0,43.4478,17.8369,Hydro,565.1099523917479
781,BIH,Bosnia and Herzegovina,Jablanica Hydroelectric Power Plant Bosnia and Herzegovina,180.0,43.6924,17.7325,Hydro,484.3799591929268
791,BIH,Bosnia and Herzegovina,Trebinje I Hydroelectric Power Plant Bosnia and Herzegovina,180.0,42.7338,18.4971,Hydro,484.3799591929268
2898,BRA,Brazil,Tucuruí,8535.0,-3.8322,-49.6522,Hydro,32510.42324226601
1833,BRA,Brazil,Itaipu (Parte Brasileira),7000.0,-25.4269,-54.5931,Hydro,26663.498851301938
1892,BRA,Brazil,Jirau,3750.0,-9.2664,-64.6478,Hydro,14284.017241768897
2654,BRA,Brazil,Santo Antônio,3568.0,-8.8011,-63.9497,Hydro,13590.76627163505
1799,BRA,Brazil,Ilha Solteira,3444.0,-20.3822,-51.3636,Hydro,13118.441434840557
1026,BRA,Brazil,Belo Monte,3327.4554399999997,-3.1264,-51.775,Hydro,12674.51490031406
3114,BRA,Brazil,Xingó,3162.0,-9.6209,-37.7924,Hydro,12044.283338259536
851,BRA,Brazil,Almirante Álvaro Alberto - Unidade II (Antiga Angra II),1350.0,-23.0072,-44.4588,Nuclear,10432.311557788946
2290,BRA,Brazil,Paulo Afonso IV,2462.4,-9.4132,-38.2106,Hydro,9379.45708163513
1856,BRA,Brazil,Itumbiara,2080.5,-18.4213,-49.116,Hydro,7924.772765733385
3139,BRN,Brunei Darussalam,Lumut Cogen Power Station Brunei,246.0,4.6654,114.4646,Gas,1872.7064846416379
3138,BRN,Brunei Darussalam,Gadong 2 Power Plant Brunei Darussalam,128.0,4.9111,114.9103,Gas,974.4163822525596
3137,BRN,Brunei Darussalam,Bukit Panggal CCGT Power Station Brunei,110.0,4.8282,114.7461,Gas,837.3890784982933
3136,BRN,Brunei Darussalam,Berakas CCGT Power Plant Brunei,102.0,4.9707,114.9303,Gas,776.4880546075087
3146,BGR,Bulgaria,KOZLODUY,2000.0,43.7438,23.7723,Nuclear,15867.0
3149,BGR,Bulgaria,Maritsa Itzok-2 power station,1602.0,42.2541,26.134,Coal,7024.2045688413245
3150,BGR,Bulgaria,Maritsa Itzok-3 power station,908.0,42.145,26.0025,Coal,3981.259518419428
3140,BGR,Bulgaria,AES Galabovo,670.0,42.1573,25.9084,Coal,2937.7135213006786
3141,BGR,Bulgaria,Bobov Dol power station,630.0,42.2855,23.0342,Coal,2762.327639431982
3153,BGR,Bulgaria,PSCHAIRA GEN,864.0,42.1603,23.8612,Hydro,2278.259448416752
3157,BGR,Bulgaria,SVETI NIKOLA,156.0,43.4229,28.376,Wind,1331.0
3142,BGR,Bulgaria,Brikel power station,240.0,42.1551,25.9072,Coal,1052.3152912121836
3152,BGR,Bulgaria,PSBELMEKEN,375.0,42.1996,23.8586,Hydro,988.8278855975486
3154,BGR,Bulgaria,RUSE,180.0,43.8662,26.0093,Coal,789.2364684091377
3169,KHM,Cambodia,Sihanoukville CIIDG power station,405.0,10.7326,103.5835,Coal,692.1089108910893
3164,KHM,Cambodia,Lower Russei Chrum,338.0,11.7818,103.0854,Hydro,688.6424642464248
3172,KHM,Cambodia,Stung Tatai,246.0,11.6346,103.2612,Hydro,501.20132013201317
3161,KHM,Cambodia,Kamchay,193.0,10.7041,104.1175,Hydro,393.21892189218926
3171,KHM,Cambodia,Stung Atai,120.0,12.0752,103.1899,Hydro,244.48844884488446
3162,KHM,Cambodia,Khmer Electric Power Diesel Power Plant,30.0,11.5238,104.873,Oil,183.02238805970146
3168,KHM,Cambodia,Sihanoukville CEL power station,100.0,10.7402,103.5808,Coal,170.8910891089109
3166,KHM,Cambodia,Phnom Penh Diesel,18.6,11.5904,104.9153,Oil,113.47388059701493
3170,KHM,Cambodia,Sihanoukville Diesel,5.0,10.6124,103.6287,Oil,30.503731343283576
3163,KHM,Cambodia,Kirirom I,12.0,11.2377,104.0343,Hydro,24.448844884488448
3180,CMR,Cameroon,Song Loulou,396.0,4.078,10.4649,Hydro,3184.589019358933
3175,CMR,Cameroon,Edea,154.2,3.8127,10.1278,Hydro,1240.0596635988572
3177,CMR,Cameroon,Kribi,200.0,3.01,9.96,Gas,896.0
3178,CMR,Cameroon,Lagdo,80.0,9.0594,13.6882,Hydro,643.3513170422087
3176,CMR,Cameroon,Garoua,16.0,9.3,13.4,Oil,275.9050214091086
3174,CMR,Cameroon,Douala Bassa,14.14,4.05,9.7,Oil,243.83106267029973
3173,CMR,Cameroon,Bafoussam,10.62,5.4667,10.4167,Oil,183.13195796029584
3179,CMR,Cameroon,Limbe,10.62,4.0167,9.2,Oil,183.13195796029584
3433,CAN,Canada,Darlington,3740.0,43.8697,-78.7239,Nuclear,28252.82166409429
4021,CAN,Canada,Robert-Bourassa,5616.0,53.7818,-77.5305,Hydro,26629.34675210389
3385,CAN,Canada,Churchill Falls,5428.0,53.5294,-63.9651,Hydro,25737.90850612891
3313,CAN,Canada,Bruce B,3390.0,44.319,-81.6027,Nuclear,25608.84102708012
3312,CAN,Canada,Bruce A,3220.0,44.3391,-81.5747,Nuclear,24324.621860530377
3934,CAN,Canada,Pickering B,2160.0,43.8096,-79.0639,Nuclear,16317.137645573172
4186,CAN,Canada,Sundance,2141.0,53.5075,-114.5569,Coal,14179.4144494474
3694,CAN,Canada,La Grande-4,2779.0,53.8864,-73.466,Hydro,13177.16428491751
3811,CAN,Canada,Mica,2746.0,52.0759,-118.5705,Hydro,13020.688422592111
3525,CAN,Canada,G.M. Shrum,2730.0,56.0148,-122.1957,Hydro,12944.821337828284
4573,CHL,Chile,TERMOELECTRICA TOCOPILLA (U12),1001.7,-22.091,-70.2126,Coal,5383.088303881293
4422,CHL,Chile,GUACOLDA,760.0,-28.4673,-71.2573,Coal,4084.203964210624
4489,CHL,Chile,NEHUENCO,874.7,-32.9366,-71.3231,Gas,3641.0486654804076
4343,CHL,Chile,ATACAMA (CC1-CC2),767.8,-23.0898,-70.4168,Gas,3196.063982343497
4568,CHL,Chile,TERMOELECTRICA ANGAMOS 1(ANG1)_ 2(ANG2),488.3,-23.0677,-70.369,Coal,2624.101047005326
4349,CHL,Chile,BOCAMINA (I-II),478.0,-37.0215,-73.1673,Coal,2568.749335385103
4525,CHL,Chile,RALCO,690.0,-37.9969,-71.5199,Hydro,2486.475819032761
4500,CHL,Chile,PEHUENCHE,570.0,-35.7338,-71.1555,Hydro,2054.0452418096725
4546,CHL,Chile,SANTA MARIA,341.991,-37.042,-73.13,Coal,1837.8434183215206
4584,CHL,Chile,VENTANAS,322.0,-32.7493,-71.4812,Coal,1730.4127322050274
7035,CHN,China,Three Gorges Dam,22500.0,30.8235,111.0032,Hydro,92452.5703250953
4625,CHN,China,Baihetan Dam,13050.0,28.2606,103.6484,Hydro,53622.490788555275
7221,CHN,China,Xiluodu,12600.0,28.26,103.65,Hydro,51773.439382053366
5039,CHN,China,East Hope Metals Wucaiwan power station,7000.0,44.6885,89.1138,Coal,30141.21843472656
4969,CHN,China,Datang Tuoketuo power station,6720.0,40.1947,111.3589,Coal,28935.569697337494
7187,CHN,China,Xiangjiaba,6448.0,28.6437,104.393,Hydro,26494.852153609532
6334,CHN,China,Longtan,6300.0,25.0277,107.0431,Hydro,25886.719691026683
6520,CHN,China,Nuozhadu,5850.0,22.6409,100.4287,Hydro,24037.66828452477
7107,CHN,China,Waigaoqiao power station,5240.0,31.3536,121.6003,Coal,22562.854942566737
5309,CHN,China,Guodian Beilun power station,5060.0,29.9433,121.8131,Coal,21787.79503995949
7641,COL,Colombia,San Carlos,1246.0,6.2108,-74.8405,Hydro,9253.420675231551
7635,COL,Colombia,Gavio,1200.0,4.7247,-73.4831,Hydro,8911.801613385122
7634,COL,Colombia,Chivor,1000.0,4.9008,-73.2969,Hydro,7426.501344487601
7642,COL,Colombia,Sogamoso,820.0,7.1003,-73.4056,Hydro,6089.731102479833
7640,COL,Colombia,Porce III,660.0,6.9394,-75.1398,Hydro,4901.490887361817
7633,COL,Colombia,Central Guatapé,560.0,6.32,-75.1659,Hydro,4158.840752913056
7643,COL,Colombia,Termobarranquilla,918.0,10.9368,-74.7643,Gas,3849.2714453584017
7639,COL,Colombia,Miel I,396.0,5.5606,-74.8866,Hydro,2940.89453241709
7645,COL,Colombia,Termoflores,670.0,11.0253,-74.8112,Gas,2809.381120250685
7630,COL,Colombia,Cantral La Tasajera,306.0,6.3771,-75.4478,Hydro,2272.5094114132057
7658,COG,Congo,Pointe-Noire Sne,300.0,-4.9154,11.9362,Gas,703.5714285714287
7654,COG,Congo,Imboulou,120.0,-2.97,16.08,Hydro,521.6438356164383
7656,COG,Congo,Moukoukoulou,74.0,-3.8988,13.7654,Hydro,321.68036529680364
7652,COG,Congo,Djeno Eni,36.0,-4.891,11.9154,Gas,84.42857142857143
7653,COG,Congo,Djoue,15.0,-4.3012,15.2067,Hydro,65.20547945205479
7659,COG,Congo,Sounda Gorge,10.0,-4.0767,12.1569,Hydro,43.47031963470321
7655,COG,Congo,Loango,45.3,-2.9872,12.0608,Oil,0.0
7657,COG,Congo,Mpila,25.6,-4.2496,15.3025,Oil,0.0
7661,CRI,Costa Rica,Angostura Hydroelectric Power Station Costa Rica,210.0,9.9221,-83.6423,Hydro,1086.7257318952234
7667,CRI,Costa Rica,Corobici (Miguel Pablo Dengo) Hydroelectric Power Plant Costa Rica,180.0,10.4695,-85.0763,Hydro,931.4791987673344
7672,CRI,Costa Rica,Miravalles I and II Geothermal Power Plant Costa Rica,115.0,10.7002,-85.1944,Geothermal,889.0173410404625
7662,CRI,Costa Rica,Arenal Hydroelectric Power Plant Costa Rica,157.5,10.4755,-84.9989,Hydro,815.0442989214175
7679,CRI,Costa Rica,Pirris Hydroelectric Power Station Costa Rica,134.0,9.6314,-84.198,Hydro,693.4345146379045
7680,CRI,Costa Rica,Rio Macho Hydroelectic Power Plant Costa Rica,120.0,9.7757,-83.8414,Hydro,620.9861325115562
7666,CRI,Costa Rica,Cachi Hydroelectric Power Station Costa Rica,102.0,9.8407,-83.8037,Hydro,527.8382126348229
7676,CRI,Costa Rica,Moin II and III Power Plant Costa Rica,234.45,9.9935,-83.1,Oil,524.2391467467038
7685,CRI,Costa Rica,Ventanas-Garita Hydroelectric Power Station Costa Rica,97.4,9.9443,-84.3506,Hydro,504.0337442218799
7669,CRI,Costa Rica,Garabito ICE Power Plant Costa Rica,200.0,10.0444,-84.7601,Oil,447.2076321149105
7688,CIV,Cote DIvoire,Azito OCGT Power Plant Ivory Coast,294.0,5.3015,-4.0763,Gas,2820.745033112583
7693,CIV,Cote DIvoire,Vridi CIPREL OCGT Power Plant Cote DIvoire,210.0,5.2612,-4.0096,Gas,2014.8178807947022
7690,CIV,Cote DIvoire,Centrale Vridi OCGT Power Plant Cote DIvoire,100.0,5.2579,-4.0079,Gas,959.4370860927153
7692,CIV,Cote DIvoire,Taabo Hydroelectric Power Plant Cote dIvoire,210.0,6.2093,-5.0829,Hydro,670.6677796327211
7691,CIV,Cote DIvoire,Kossou Hydroelectric Power Plant Cote dIvoire,174.0,7.0304,-5.473,Hydro,555.6961602671118
7689,CIV,Cote DIvoire,Buyo Hydroelectric Power Plant Cote dIvoire,165.0,6.2422,-7.0453,Hydro,526.9532554257096
7687,CIV,Cote DIvoire,Ayame (Ayme) II Hydroelectric Power Plant Cote dIvoire,30.0,5.5819,-3.1591,Hydro,95.8096828046745
7686,CIV,Cote DIvoire,Ayame (Ayme) I Hydroelectric Power Plant Cote dIvoire,20.0,5.6058,-3.1691,Hydro,63.87312186978297
7717,HRV,Croatia,Zakucac Hydroelectric Power Plant Croatia,522.0,43.4581,16.7027,Hydro,2935.3854686633395
7708,HRV,Croatia,Plomin Thermal Power Plant Croatia,330.0,45.137,14.164,Coal,2368.0
7704,HRV,Croatia,Orlovac Hydroelectric Power Plant Croatia,237.0,43.6737,16.784,Hydro,1332.7324828988721
7710,HRV,Croatia,Senj Hydroelectric Power System Croatia Croatia,216.0,44.9429,14.9276,Hydro,1214.6422628951746
7716,HRV,Croatia,Zagreb Te-To CHP Power Plant Croatia,328.0,45.7816,16.0169,Gas,564.8951529735305
7713,HRV,Croatia,Varazdin Hydroelectric Power Plant Croatia Croatia,94.0,46.3479,16.2684,Hydro,528.594318111789
7714,HRV,Croatia,Vinodol Hydroelectric Power System Croatia Croatia,90.0,45.2286,14.6736,Hydro,506.10094287298944
7694,HRV,Croatia,Cakovec Hydroelectric Power Plant Croatia Croatia,76.0,46.3113,16.4945,Hydro,427.37412953719115
7696,HRV,Croatia,Dubrava Hydroelectric Power Plant Croatia Croatia,76.0,46.3205,16.7489,Hydro,427.37412953719115
7707,HRV,Croatia,Peruca Hydroelectric Power Plant Croatia,60.0,43.7951,16.5968,Hydro,337.400628581993
7725,CUB,Cuba,Havana TPP,500.0,23.1235,-82.412,Oil,2345.6900136636373
7726,CUB,Cuba,Lidio Perez (felton) Powerplant,500.0,20.7408,-75.655,Oil,2345.6900136636373
7720,CUB,Cuba,Antonio Maceo (rente) Powerplant,450.0,19.9945,-75.8706,Oil,2111.1210122972734
7727,CUB,Cuba,Máximo Gómez (Mariel),450.0,23.02,-82.7502,Oil,2111.1210122972734
7722,CUB,Cuba,Carlos De Cespedes Powerplant,382.0,22.1589,-80.4552,Oil,1792.1071704390185
7721,CUB,Cuba,Boca de Jaruco,238.0,23.1822,-82.0171,Gas,1617.9367396593673
7719,CUB,Cuba,Antonio Guiteras Powerplant,330.0,23.0687,-81.5379,Oil,1548.1554090180005
7728,CUB,Cuba,Santa Cruz,300.0,23.1592,-81.9538,Oil,1407.4140081981823
7718,CUB,Cuba,10 De Octubre (nuevitas) Powerplant,280.0,21.5656,-77.2711,Oil,1313.5864076516368
7729,CUB,Cuba,Varadero Powerplant,173.0,23.0879,-81.2695,Gas,1176.0632603406325
7730,CYP,Cyprus,Dhekelia Power Plant Cyprus,460.0,34.9809,33.7439,Oil,3091.9666666666667
7731,CYP,Cyprus,Moni Power Station Cyprus,140.0,34.7106,33.1825,Oil,941.0333333333333
7732,CYP,Cyprus,Vasilikos Power Plant Cyprus,868.0,34.7286,33.29,Gas,0.0
7735,COD,Democratic Republic of the Congo,Inga II,1775.0,-5.5267,13.6206,Hydro,5186.00106002385
7741,COD,Democratic Republic of the Congo,Nseke,260.0,-10.3044,25.4068,Hydro,759.6395918908175
