country_long,,estimated_generation_gwh
Israel,13327,4012.6489742754798
Israel,13339,3411.550960599153
Italy,13464,15178.0
Italy,13385,13628.868175765645
Italy,13577,10221.651131824236
Italy,13463,8365.767805313108
Italy,13454,6711.185086551264
Japan,13632,39746.04007477126
Japan,13649,37932.23269040669
Japan,13702,37869.14373790706
Japan,13647,34451.930720497185
Japan,13862,28390.02862483661
Kazakhstan,13952,19055.709604234937
Kazakhstan,13950,15129.75
Kazakhstan,13945,11671.622132593899
Kazakhstan,13962,5978.728888328711
Kazakhstan,13963,5859.630703302244
Kenya,13986,995.9084880636605
Kenya,13974,948.4844625573102
Kenya,13987,753.6604774535809
Kenya,13990,753.6604774535809
Kenya,13989,748.2771883289125
Libya,14058,10259.57142857143
Libya,14050,4931.926977687625
Libya,14051,3604.7142857142853
Libya,14057,3604.7142857142853
Libya,14055,3561.947261663286
Malaysia,14116,17945.006151953246
Malaysia,14138,13926.698554290986
Malaysia,14109,13404.585146286572
Malaysia,14143,9015.433712703783
Malaysia,14130,7217.427456864216
Mexico,14373,17502.411572214787
Mexico,14324,9677.0
Mexico,14208,8819.239922653578
Mexico,14402,7602.062381690566
Mexico,14314,7559.348505131638
Morocco,14454,11270.673721340389
Morocco,14466,2873.463844797178
Morocco,14445,2689.0756302521013
Morocco,14471,1673.8624338624338
Morocco,14443,1586.5546218487393
Myanmar,14514,2559.4121532364597
Myanmar,14508,1943.8573315719946
Myanmar,14502,1093.4282166396026
Myanmar,14503,907.1334214002644
Myanmar,14509,777.5429326287979
Nepal,14531,977.8940765301547
Nepal,14536,475.3651760910475
Nepal,14535,468.5742450040326
Nepal,14532,407.4558652208979
Nepal,14533,407.4558652208979
Netherlands,14552,13638.501932989693
Netherlands,14553,10343.369890329013
Netherlands,14578,7253.580541237115
Netherlands,14577,7111.066799601196
Netherlands,14576,6723.190428713859
New Zealand,14608,5636.435897435898
New Zealand,14614,4436.827711941659
New Zealand,14621,3815.671832269827
New Zealand,14602,2994.85870556062
New Zealand,14603,2395.886964448496
Nicaragua,14648,357.79390063944913
Nicaragua,14654,341.4088050314465
Nicaragua,14645,322.5184456468274
Nicaragua,14651,320.59119496855345
Nicaragua,14641,308.4082636497787
Nigeria,14662,6183.277241379312
Nigeria,14669,4317.931034482759
Nigeria,14663,3229.812413793104
Nigeria,14671,2878.6206896551726
Nigeria,14666,2590.7586206896553
North Korea,14697,2391.590013140604
North Korea,14702,1646.7805519053875
North Korea,14686,1366.622864651774
North Korea,14703,1366.622864651774
North Korea,14704,1366.622864651774
Norway,14886,6474.449826081249
Norway,14718,6268.200039377831
Norway,14993,5066.570847279649
Norway,14982,3497.278991927545
Norway,14987,3228.257531010041
Pakistan,15070,13681.108440973265
Pakistan,15039,11122.701009684732
Pakistan,15022,10847.216154955695
Pakistan,15035,5703.739861820368
Pakistan,15073,5432.156326673677
Panama,15084,1420.8298052497885
Panama,15090,1250.487804878049
Panama,15081,1231.385831216483
Panama,15083,1053.3084956251764
Panama,15078,768.5289634146343
Peru,15111,6476.12853695986
Peru,15122,4668.106588146966
Peru,15114,3598.5057716672136
Peru,15117,2837.2362629627887
Peru,15132,2789.197362864248
Philippines,15179,6964.230430958663
Philippines,15223,5808.091468777484
Philippines,15233,4610.9711039593185
Philippines,15210,4368.68690802057
Philippines,15167,3407.1215053886604
Poland,15241,23251.625440098192
Poland,15384,11358.113085047966
Poland,15404,9512.953488372092
Poland,15410,7542.3309861429625
Poland,15403,6896.452501695791
Portugal,15810,7831.037411526794
