country_long,,estimated_generation_gwh
Georgia,10075,361.6332222824824
Georgia,10076,355.1754861702952
Georgia,10070,258.30944448748744
Germany,10585,22362.88497001164
Germany,10742,20456.047884888707
Germany,10553,16639.17597633805
Germany,10204,15416.584193130415
Germany,11066,13825.98924666224
Germany,10537,12911.696804225225
Germany,10137,12868.223077611674
Germany,10777,12763.886133739146
Germany,10197,12524.110949931863
Germany,10736,12333.267354504329
Greece,11069,8221.195195195196
Greece,11092,6442.942942942945
Greece,11126,3195.6996996996995
Greece,11074,3092.612612612613
Greece,11109,3092.612612612613
Greece,11132,2279.5688622754487
Greece,11105,2135.7125748502995
Greece,11086,1700.936936936937
Greece,11078,1128.7185628742516
Greece,11110,1055.7802113352543
Guatemala,11149,1443.4299325129018
Guatemala,11172,972.5620412443201
Guatemala,11218,452.2747121873761
Guatemala,11205,450.6204124432016
Guatemala,11145,433.0289797538707
Guatemala,11192,408.9718142119889
Guatemala,11183,371.6850357913874
Guatemala,11199,327.6585946804288
Guatemala,11147,305.03806385637995
Guatemala,11173,288.68598650258036
Honduras,11232,2104.8110575703777
Honduras,11236,1515.2279829959039
Honduras,11243,1310.5427339589146
Honduras,11230,453.8676134922648
Honduras,11242,453.8676134922648
Honduras,11247,404.06079546557436
Honduras,11223,398.0
Honduras,11225,271.96000000000004
Honduras,11244,151.5227982995904
Honduras,11231,150.91098148617806
Hungary,11262,15649.0
Hungary,11260,4526.613065326634
Hungary,11261,1280.1507537688442
Hungary,11263,1235.2045477616487
Hungary,11254,1201.8940547490947
Hungary,11256,609.882245457314
Hungary,11251,573.2835921903021
Hungary,11252,307.23618090452266
Hungary,11257,247.32683653097823
Hungary,11258,156.11613034209725
Iceland,11269,4644.133640071108
Iceland,11270,1950.513986013986
Iceland,11267,1817.2696852452161
Iceland,11271,1413.4319774129458
Iceland,11276,1098.881118881119
Iceland,11266,1009.5942695806757
Iceland,11278,1009.5942695806757
Iceland,11277,915.7342657342656
Iceland,11280,807.6754156645405
Iceland,11281,695.9580419580418
India,11480,17592.233009879787
India,11508,14513.592233150825
India,11591,14513.592233150825
India,11745,11728.155339919858
India,11643,9675.728155433884
India,11289,8796.116504939893
India,11441,8796.116504939893
India,11653,8796.116504939893
India,11716,7916.504854445904
